数据类别,name,r2,corr,mape
单体参数,R_m,0.9578722715377808,0.9811410903930664,0.4793243408203125
单体参数,R_a,-0.03341853618621826,-0.0047341082245111465,1.443028211593628
单体参数,R_haa,0.9760005474090576,0.9906446933746338,0.40114670991897583
单体参数,R_lna,0.9741684198379517,0.9912834167480469,0.4145527184009552
单体参数,R_lca,0.974791407585144,0.9910587072372437,0.4160126745700836
单体参数,R_aop,0.960279107093811,0.9819657802581787,0.4632973074913025
单体参数,R_rula,0.9722803831100464,0.9875356554985046,0.40028128027915955
单体参数,R_rica,0.8087605834007263,0.903997540473938,0.7447760105133057
单体参数,R_lica,0.10906296968460083,0.342601478099823,1.3517439365386963
单体参数,R_lula,0.8928979635238647,0.947771430015564,0.5873889923095703
单体参数,R_rsv,0.942756712436676,0.9765932559967041,0.5738983750343323
单体参数,R_rijv,0.9310505390167236,0.9674739241600037,0.5488235950469971
单体参数,R_lijv,0.26180946826934814,0.5233818292617798,1.2775819301605225
单体参数,R_lsv,0.710115909576416,0.8457192778587341,0.8300844430923462
单体参数,R_sv,0.9277461171150208,0.9669902324676514,0.5391743779182434
单体参数,R_t,0.9655004739761353,0.9880487322807312,0.4828019142150879
单体参数,R_p,-0.014521479606628418,0.0575367733836174,1.4541358947753906
单体参数,R_rpap,-0.013121366500854492,0.05208978056907654,1.4255017042160034
单体参数,R_lpap,-0.023141980171203613,0.019667353481054306,1.436383843421936
单体参数,R_rpad,-0.0006461143493652344,0.10298052430152893,1.496915578842163
单体参数,R_lpad,-0.0032771825790405273,0.08561397343873978,1.4522511959075928
单体参数,R_rpv,0.3645365834236145,0.6113130450248718,1.6428437232971191
单体参数,R_lpv,0.37728506326675415,0.6184967756271362,1.5912007093429565
单体参数,C_haa,0.7910082936286926,0.8943235874176025,0.6061034202575684
单体参数,C_lna,0.970696210861206,0.9909255504608154,0.33400392532348633
单体参数,C_lca,0.6981290578842163,0.8486366271972656,0.7077358961105347
单体参数,C_aop,0.8398505449295044,0.9199178218841553,0.523356556892395
单体参数,C_rula,0.026278197765350342,0.3190617263317108,1.3374136686325073
单体参数,C_rica,0.9484217762947083,0.9794412851333618,0.3880644738674164
单体参数,C_lica,0.804295539855957,0.9166560173034668,0.7376651763916016
单体参数,C_lula,0.03713357448577881,0.2564205229282379,1.1602247953414917
单体参数,C_sap,-0.10309219360351562,0.1936081200838089,1.5809483528137207
单体参数,C_rsv,0.6488251090049744,0.8217202425003052,0.6814459562301636
单体参数,C_rijv,0.2455044984817505,0.4983312487602234,0.86873459815979
单体参数,C_lijv,0.41982877254486084,0.6805218458175659,0.8563628196716309
单体参数,C_lsv,0.22105449438095093,0.47244083881378174,0.8981648087501526
单体参数,C_sv,0.021963775157928467,0.16787554323673248,0.9666028618812561
单体参数,C_vc,0.010164916515350342,0.17127636075019836,1.0685900449752808
单体参数,C_rpap,0.04748767614364624,0.23060235381126404,1.1053416728973389
单体参数,C_lpap,0.0585942268371582,0.24584254622459412,1.108267068862915
单体参数,C_rpad,0.16635560989379883,0.41004717350006104,1.128801703453064
单体参数,C_lpad,0.17538189888000488,0.42501795291900635,1.1358773708343506
单体参数,C_rpv,0.12594860792160034,0.36290600895881653,1.132744550704956
单体参数,C_lpv,0.11459237337112427,0.3598976135253906,1.1814748048782349
组合参数,肺循环总阻力 (R_pulm_total),-0.0002238750457763672,0.16719810664653778,0.974855363368988
组合参数,静脉系统总顺应性 (C_ven_total),0.1801103949546814,0.43952709436416626,0.7029581069946289
组合参数,体循环远端总阻力 (R_dist_total),0.22212213277816772,0.4850338101387024,0.9563785791397095
组合参数,肺部总顺应性 (C_pulm_total),0.1192941665649414,0.3612644076347351,0.7778448462486267
总体统计,所有 44 个参数总平均 R2,0.46107297322966834,0.0,0.0
