数据类别,name,r2,corr,mape
单体参数,R_m,0.7057772874832153,0.8488534092903137,0.967786431312561
单体参数,R_a,-0.05185234546661377,0.0037879422307014465,1.5957775115966797
单体参数,R_haa,0.9506242275238037,0.9845282435417175,0.5824595093727112
单体参数,R_lna,0.9467566609382629,0.986103892326355,0.5692649483680725
单体参数,R_lca,0.961591899394989,0.9877621531486511,0.4841325879096985
单体参数,R_aop,0.9124626517295837,0.969660758972168,0.7633604407310486
单体参数,R_rula,0.801223635673523,0.9037317037582397,0.8594248294830322
单体参数,R_rica,0.7390249967575073,0.8645572662353516,0.9258611798286438
单体参数,R_lica,-0.00909435749053955,0.08767499029636383,1.4406801462173462
单体参数,R_lula,0.7340095043182373,0.8702747821807861,0.9873353838920593
单体参数,R_rsv,0.16015660762786865,0.41754454374313354,1.3487204313278198
单体参数,R_rijv,0.13981032371520996,0.3992256820201874,1.3731273412704468
单体参数,R_lijv,-0.018810391426086426,0.09000211954116821,1.5647318363189697
单体参数,R_lsv,0.22473400831222534,0.47996237874031067,1.3129924535751343
单体参数,R_sv,0.796882152557373,0.9012898802757263,0.9128206372261047
单体参数,R_t,0.9143389463424683,0.9653719663619995,0.6977314352989197
单体参数,R_p,-0.028294801712036133,0.07461319863796234,1.5923749208450317
单体参数,R_rpap,-0.03029310703277588,0.029202206060290337,1.4696725606918335
单体参数,R_lpap,-0.04084336757659912,0.008080742321908474,1.5048435926437378
单体参数,R_rpad,-0.018079042434692383,0.09145909547805786,1.537834644317627
单体参数,R_lpad,-0.02868497371673584,0.06853856891393661,1.523186206817627
单体参数,R_rpv,0.11116176843643188,0.35064464807510376,1.7609769105911255
单体参数,R_lpv,0.10742825269699097,0.361910879611969,1.78890061378479
单体参数,C_haa,0.8102000951766968,0.9198211431503296,0.7772636413574219
单体参数,C_lna,0.5046877861022949,0.7427752017974854,0.9952568411827087
单体参数,C_lca,0.5581117272377014,0.775705099105835,0.8999569416046143
单体参数,C_aop,0.3992144465446472,0.6649634838104248,0.987063467502594
单体参数,C_rula,-0.17226386070251465,0.1775830239057541,1.7380930185317993
单体参数,C_rica,-0.06063187122344971,0.1284922957420349,1.326527714729309
单体参数,C_lica,-0.2716785669326782,0.24027907848358154,2.024851083755493
单体参数,C_lula,0.0029131174087524414,0.2451881468296051,1.2863425016403198
单体参数,C_sap,-0.33903634548187256,0.17279116809368134,2.082700252532959
单体参数,C_rsv,0.10085326433181763,0.3223530650138855,1.0554643869400024
单体参数,C_rijv,0.12887555360794067,0.36194828152656555,0.9624782800674438
单体参数,C_lijv,0.15356725454330444,0.4312712252140045,1.1338518857955933
单体参数,C_lsv,0.18830657005310059,0.4353620409965515,0.959537148475647
单体参数,C_sv,-0.0024491548538208008,0.14041876792907715,1.0693109035491943
单体参数,C_vc,0.016629338264465332,0.19139277935028076,1.105359673500061
单体参数,C_rpap,0.028200209140777588,0.19371408224105835,1.135060429573059
单体参数,C_lpap,0.030561089515686035,0.1904088258743286,1.1274172067642212
单体参数,C_rpad,0.0944143533706665,0.32547223567962646,1.1881821155548096
单体参数,C_lpad,0.10643160343170166,0.34262362122535706,1.1832454204559326
单体参数,C_rpv,0.07753098011016846,0.3021308481693268,1.2301127910614014
单体参数,C_lpv,0.052082180976867676,0.2903957962989807,1.2790669202804565
组合参数,肺循环总阻力 (R_pulm_total),-0.07336807250976562,0.12290648370981216,1.0224652290344238
组合参数,静脉系统总顺应性 (C_ven_total),0.012059271335601807,0.22667564451694489,0.8171990513801575
组合参数,体循环远端总阻力 (R_dist_total),-0.016373276710510254,0.1233590692281723,1.1134752035140991
组合参数,肺部总顺应性 (C_pulm_total),0.06055641174316406,0.2945691645145416,0.8292518854141235
总体统计,所有 44 个参数总平均 R2,0.2587852342562242,0.0,0.0
